ISIN,Date,start_price,end_price,minimum_price,maximum_price,daily_traded_volume,end_price_mx,standard_deviation
LU1645381689,2022-12-30,21.974,22.175,21.974,22.074,50,423.099,0.1421284630184964
LU1645381689,2022-12-31,21.974,22.175,21.974,22.074,50,423.099,0.1421284630184964
LU1645385839,2022-12-30,9.9416,9.951,9.9416,9.9416,0,189.86508,0.006646803743154385
LU1645385839,2022-12-31,9.9416,9.951,9.9416,9.9416,0,189.86508,0.006646803743154385
LU1645386308,2022-12-30,10.511,10.561,10.511,10.511,0,201.50387999999998,0.03535533905932788
LU1645386308,2022-12-31,10.511,10.561,10.511,10.511,0,201.50387999999998,0.03535533905932788
LU1645386480,2022-12-30,11.328,11.382,11.328,11.4625,5,217.16855999999999,0.03818376618407376
LU1645386480,2022-12-31,11.328,11.382,11.328,11.4625,5,217.16855999999999,0.03818376618407376
LU1646360542,2022-12-30,22.645,22.785,22.645,22.645,0,434.73779999999994,0.09899494936611705
LU1646360542,2022-12-31,22.645,22.785,22.645,22.645,0,434.73779999999994,0.09899494936611705
LU1646360971,2022-12-30,53.04,53.6,52.74,53.04,250,1022.688,0.3959797974644682
LU1646360971,2022-12-31,53.04,53.6,52.74,53.04,250,1022.688,0.3959797974644682
LU1650487413,2022-12-30,123.03,123.135,122.975,123.06,11040,2349.4157999999998,0.07424621202459031
LU1650487413,2022-12-31,123.03,123.135,122.975,123.06,11040,2349.4157999999998,0.07424621202459031
LU1650487926,2022-12-30,123.925,124.02,123.925,123.925,0,2366.3016,0.06717514421272121
LU1650487926,2022-12-31,123.925,124.02,123.925,123.925,0,2366.3016,0.06717514421272121
LU1650488494,2022-12-30,151.355,151.685,151.355,151.355,0,2894.1497999999997,0.23334523779156952
