ISIN,Date,start_price,end_price,minimum_price,maximum_price,daily_traded_volume,end_price_mx,standard_deviation
LU0942970798,2022-12-30,21.984,21.9,21.885,21.998,10271,417.8519999999999,0.059396969619672245
LU0942970798,2022-12-31,21.984,21.9,21.885,21.998,10271,417.8519999999999,0.059396969619672245
LU0947415054,2022-12-30,165.56,166.88,165.56,165.82,529,3184.0703999999996,0.9333809511662379
LU0947415054,2022-12-31,165.56,166.88,165.56,165.82,529,3184.0703999999996,0.9333809511662379
LU0950381748,2022-12-30,10.494,10.584,10.494,10.494,0,201.94271999999998,0.06363961030678918
LU0950381748,2022-12-31,10.494,10.584,10.494,10.494,0,201.94271999999998,0.06363961030678918
LU0950674332,2022-12-30,22.96,23.255,22.86,23.0,58776,443.70539999999994,0.20859650045003023
LU0950674332,2022-12-31,22.96,23.255,22.86,23.0,58776,443.70539999999994,0.20859650045003023
LU0950674928,2022-12-30,9.706,9.752,9.706,9.706,516,186.06816,0.032526911934582
LU0950674928,2022-12-31,9.706,9.752,9.706,9.706,516,186.06816,0.032526911934582
LU0952581584,2022-12-30,10.587,10.6105,10.587,10.6705,109772,202.44833999999997,0.01661700935788408
LU0952581584,2022-12-31,10.587,10.6105,10.587,10.6705,109772,202.44833999999997,0.01661700935788408
LU0959211243,2022-12-30,231.11,234.83,231.11,231.43,127,4480.5563999999995,2.630437226013956
LU0959211243,2022-12-31,231.11,234.83,231.11,231.43,127,4480.5563999999995,2.630437226013956
LU0962071741,2022-12-30,167.59,167.98,167.055,167.695,5955,3205.0583999999994,0.2757716446627439
LU0962071741,2022-12-31,167.59,167.98,167.055,167.695,5955,3205.0583999999994,0.2757716446627439
LU0962078753,2022-12-30,233.05,233.76,233.0,233.91,52,4460.140799999999,0.5020458146424343
LU0962078753,2022-12-31,233.05,233.76,233.0,233.91,52,4460.140799999999,0.5020458146424343
LU0994505336,2022-12-30,19.486,19.77,19.486,19.486,0,377.2116,0.20081832585697873
LU0994505336,2022-12-31,19.486,19.77,19.486,19.486,0,377.2116,0.20081832585697873
LU1033693638,2022-12-30,28.1,28.4,28.095,28.23,1593,541.872,0.21213203435596223
LU1033693638,2022-12-31,28.1,28.4,28.095,28.23,1593,541.872,0.21213203435596223
LU1048313891,2022-12-30,13.066,13.162,13.038,13.162,88683,251.13096,0.06788225099390863
LU1048313891,2022-12-31,13.066,13.162,13.038,13.162,88683,251.13096,0.06788225099390863
LU1048313974,2022-12-30,15.55,16.028,15.55,15.844,2135,305.8142399999999,0.3379970414071683
LU1048313974,2022-12-31,15.55,16.028,15.55,15.844,2135,305.8142399999999,0.3379970414071683
